අං	a ŋ
අංක	a ŋ k ə
අංකනය	a ŋ k ə n ə y ə
අංකය	a ŋ k ə y ə
අංකයකට	a ŋ k ə y ə k ə ʈ ə
අංකයක්	a ŋ k ə y a k
අංකයක්ද	a ŋ k ə y a k d ə
අංකයකින්	a ŋ k ə y ə k i n
අංකයට	a ŋ k ə y ə ʈ ə
අංකයත්	a ŋ k ə y a t
අංකයද	a ŋ k ə y ə d ə
අංකයන්	a ŋ k ə y a n
අංකයන්හි	a ŋ k ə y a n h i
අංකයයි	a ŋ k ə y a y
අංකයෙන්	a ŋ k ə y e n
අංකයෙන්ද	a ŋ k ə y e n d ə
අංකයෙහි	a ŋ k ə y e h i
අංකයේ	a ŋ k ə y eː
අංකල්	a ŋ k ə l
අංකල්ගෙ	a ŋ k ə l g e
අංකල්ගෙන්	a ŋ k ə l g e n
අංකල්ගේ	a ŋ k ə l g eː
අංකල්ට	a ŋ k ə l ʈ ə
අංකල්ටත්	a ŋ k ə l ʈ a t
අංකවලට	a ŋ k ə w ə l ə ʈ ə
අංකවලින්	a ŋ k ə w ə l i n
අංකුර	a ŋ k u r ə
අංකුරය	a ŋ k u r ə y ə
අංකුරයක්	a ŋ k u r ə y a k
අංකෙ	a ŋ k e
අංකෙන්	a ŋ k e n
අංකෙලිය	a ŋ k e l i y ə
අංකෙළිය	a ŋ k e l i y ə
අංග	a ŋ g ə
අංගං	a ŋ g a ŋ
අංගද	a ŋ g ə d ə
අංගන	a ŋ g ə n ə
අංගනය	a ŋ g ə n ə y ə
අංගනයක්	a ŋ g ə n ə y a k
අංගනයට	a ŋ g ə n ə y ə ʈ ə
අංගනයේ	a ŋ g ə n ə y eː
අංගනා	a ŋ g ə n aː
අංගනාවන්	a ŋ g ə n aː w a n
අංගම	a ŋ g ə m ə
අංගමක්	a ŋ g ə m ə k
අංගම්	a ŋ g a m
අංගම්පොර	a ŋ g a m p o r ə
අංගම්මන	a ŋ g a m m ə n ə
අංගම්මැඩිල්ල	a ŋ g a m m æ ɖ i l l ə
අංගමැඩිල්ල	a ŋ g ə m æ ɖ i l l ə
අංගය	a ŋ g ə y ə
අංගයකම	a ŋ g ə y ə k ə m ə
අංගයක්	a ŋ g ə y a k
අංගයක්ම	a ŋ g ə y a k m ə
අංගයකි	a ŋ g ə y ə k i
අංගයකින්	a ŋ g ə y ə k i n
අංගයට	a ŋ g ə y ə ʈ ə
අංගයන්	a ŋ g ə y a n
අංගයන්ගෙන්	a ŋ g ə y a n g e n
අංගයන්ට	a ŋ g ə y a n ʈ ə
අංගයන්ය	a ŋ g ə y a n y ə
අංගයයි	a ŋ g ə y a y
අංගයේ	a ŋ g ə y eː
අංගයේදී	a ŋ g ə y eː d iː
අංගවලට	a ŋ g ə w ə l ə ʈ ə
අංගවලින්	a ŋ g ə w ə l i n
අංගවිකල	a ŋ g ə w i k ə l ə
අංගවිකලතා	a ŋ g ə w i k ə l ə t aː
අංගවිකලව	a ŋ g ə w i k ə l ə w ə
අංගසම්පූර්ණ	a ŋ g ə s a m p uː r n ə
අංගාරා	a ŋ g aː r aː
අංගුත්තර	a ŋ g u t t ə r ə
අංගුත්තරනිකාය	a ŋ g u t t ə r ə n i k aː y ə
අංගුලි	a ŋ g u l i
අංගුලිමාල	a ŋ g u l i m aː l ə
අංගුලිමාලට	a ŋ g u l i m aː l ə ʈ ə
අංගුලිමාලටත්	a ŋ g u l i m aː l ə ʈ ə t
අංගොඩ	a ŋ g o ɖ ə
අංගොඩට	a ŋ g o ɖ ə ʈ ə
අංගොඩින්	a ŋ g o ɖ i n
අංගෝපාංග	a ŋ g oː p aː ŋ g ə
අංගෝපාංගයන්	a ŋ g oː p aː ŋ g ə y a n
අංගෝපාංගයන්ගෙන්	a ŋ g oː p aː ŋ g ə y a n g e n
අංගෝපාංගවලින්	a ŋ g oː p aː ŋ g ə w ə l i n
අංචි	a ŋ c i
අංචියක්	a ŋ c i y a k
අංජන	a ŋ ɟ ə n ə
අංජනගේ	a ŋ ɟ ə n ə g e
අංජනමක්	a ŋ ɟ ə n ə m a k
අංජනම්	a ŋ ɟ ə n a m
අංජනම්	a ɲ ɟ ə n a m
අංජනා	a ŋ ɟ ə n aː
අංජනී	a ŋ ɟ ə n iː
අංජනීගේ	a ŋ ɟ ə n iː g e
අංජබජල්	a ŋ ɟ ə b a ɟ a l
අංජලි	a ŋ ɟ ə l i
අංජලිකා	a ŋ ɟ ə l i k aː
අංජලී	a ŋ ɟ ə l iː
අංජලීගේ	a ŋ ɟ ə l iː g e
